epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,23270.4,0.38415,0.5565,0.34957,0.88311,0.98231,1,0.9932,0.98877,0.98231,1,0.9932,0.9856,0.18822,0.27465,0.18793,0.77212,0.0012674,0.0012674,0.0012674
76,23561.9,0.36276,0.52941,0.24309,0.8774,0.98242,1,0.99418,0.98837,0.98242,1,0.99418,0.98688,0.18805,0.28879,0.18447,0.7729,0.0012575,0.0012575,0.0012575
77,23856.4,0.37098,0.53785,0.24785,0.87872,0.98248,1,0.99123,0.98766,0.98248,1,0.99123,0.9857,0.18941,0.28231,0.20189,0.77575,0.0012476,0.0012476,0.0012476
78,24168.1,0.363,0.52734,0.24041,0.87869,0.98273,1,0.99041,0.98668,0.98273,1,0.99041,0.98522,0.20734,0.29061,0.18461,0.77438,0.0012377,0.0012377,0.0012377
79,24466.5,0.36959,0.53052,0.24947,0.88266,0.98267,1,0.99205,0.9902,0.98267,1,0.99205,0.98877,0.19247,0.26826,0.16598,0.77479,0.0012278,0.0012278,0.0012278
80,24852.5,0.36155,0.53459,0.23582,0.87628,0.98206,1,0.98926,0.98707,0.98206,1,0.98926,0.98093,0.17885,0.26138,0.18832,0.76721,0.0012179,0.0012179,0.0012179
81,25157.3,0.36715,0.52406,0.23892,0.88191,0.98248,1,0.99336,0.98878,0.98248,1,0.99336,0.98979,0.2055,0.29863,0.17511,0.78152,0.001208,0.001208,0.001208
82,25454.4,0.36273,0.52675,0.24541,0.87719,0.98268,1,0.9909,0.98929,0.98268,1,0.9909,0.98719,0.19358,0.30149,0.17694,0.77161,0.0011981,0.0011981,0.0011981
83,25718.1,0.35397,0.52073,0.23545,0.87519,0.98268,1,0.99484,0.99303,0.98268,1,0.99484,0.98891,0.18575,0.25743,0.17367,0.77084,0.0011882,0.0011882,0.0011882
84,26043.3,0.35271,0.51577,0.23622,0.87184,0.98237,1,0.99205,0.98992,0.98237,1,0.99205,0.98634,0.17004,0.28439,0.16799,0.7667,0.0011783,0.0011783,0.0011783
85,26341.2,0.35055,0.5087,0.23313,0.87189,0.98266,1,0.98582,0.98445,0.98266,1,0.98582,0.97823,0.18418,0.27668,0.17379,0.77181,0.0011684,0.0011684,0.0011684
86,26696.1,0.34695,0.51264,0.23049,0.87158,0.9827,1,0.99254,0.98619,0.9827,1,0.99254,0.9872,0.19233,0.27552,0.17343,0.77026,0.0011585,0.0011585,0.0011585
87,26936.4,0.34845,0.49777,0.22731,0.8713,0.98263,1,0.98992,0.98362,0.98263,1,0.98992,0.98306,0.21284,0.32044,0.1839,0.77842,0.0011486,0.0011486,0.0011486
88,27222.7,0.34636,0.50521,0.23243,0.87422,0.98232,1,0.99369,0.98865,0.98232,1,0.99369,0.98407,0.21153,0.26212,0.17556,0.77871,0.0011387,0.0011387,0.0011387
89,27545,0.34899,0.50928,0.22862,0.8779,0.98268,1,0.99369,0.99196,0.98268,1,0.99369,0.98835,0.19048,0.27489,0.15984,0.77415,0.0011288,0.0011288,0.0011288
90,27877,0.34227,0.49301,0.2231,0.86962,0.98273,1,0.99008,0.98745,0.98273,1,0.99008,0.98122,0.18989,0.26507,0.16583,0.77114,0.0011189,0.0011189,0.0011189
91,28157.2,0.34716,0.49802,0.23242,0.87393,0.98209,1,0.98844,0.98256,0.98209,1,0.98844,0.98485,0.18786,0.29701,0.17243,0.77244,0.001109,0.001109,0.001109
92,28480.9,0.34452,0.50614,0.22424,0.86852,0.98257,1,0.99451,0.99285,0.98257,1,0.99451,0.9905,0.18324,0.26574,0.16396,0.7734,0.0010991,0.0010991,0.0010991
93,28760.3,0.34219,0.48954,0.22346,0.86858,0.98264,1,0.98434,0.97674,0.98264,1,0.98434,0.97614,0.19289,0.26758,0.17342,0.77174,0.0010892,0.0010892,0.0010892
94,29076.7,0.33651,0.48435,0.21951,0.86285,0.9827,1,0.98467,0.98274,0.9827,1,0.98467,0.9763,0.18009,0.26517,0.16458,0.77144,0.0010793,0.0010793,0.0010793
95,29344.2,0.34981,0.55546,0.27252,0.8898,0.98267,1,0.99238,0.98863,0.98267,1,0.99238,0.99021,0.19097,0.25781,0.1649,0.7741,0.0010694,0.0010694,0.0010694
96,29645.9,0.34006,0.49024,0.22973,0.87224,0.98266,1,0.9932,0.99111,0.98266,1,0.9932,0.98542,0.1772,0.27372,0.16345,0.77478,0.0010595,0.0010595,0.0010595
97,29984.6,0.34559,0.50764,0.22165,0.86797,0.98273,1,0.9932,0.99098,0.98273,1,0.9932,0.9879,0.18759,0.27065,0.15819,0.76573,0.0010496,0.0010496,0.0010496
98,30339.3,0.33772,0.48372,0.21824,0.86546,0.98218,1,0.99287,0.9875,0.98218,1,0.99287,0.98993,0.17818,0.24843,0.15433,0.77159,0.0010397,0.0010397,0.0010397
